ip,probabilidade_malicioso,razao_suspeita,ausencia_usuario,frequencia_acesso,ips_conversando,media_intervalo_temporal,porta_destino,noturno,porta_privilegiada,na_blacklist,acessos_por_minuto,diversidade_portas
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,3.8333333333333335,53,0,0,0,2.6,1
192.168.0.1,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,15.333333333333334,53,0,0,0,0.8,2
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,0.4,443,0,0,0,2.2,1
192.168.0.1,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,15.333333333333334,53,0,0,0,0.8,2
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,0.4,443,0,0,0,2.2,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,3.9166666666666665,53,0,0,0,2.6,1
172.22.10.7,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,3.8333333333333335,53,0,0,0,2.6,1
177.174.96.175,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,1,0,0.6,443,0,0,0,1.2,1
177.174.96.169,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,0.4,443,0,0,0,2.2,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,3.9166666666666665,53,0,0,0,2.6,1
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,17,0,0.9375,500,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,16,0,0.9375,443,0,0,0,3.4,4
192.168.1.50,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,14,0,0.9375,22,0,0,0,3.4,4
192.168.1.82,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,4,0,24.0,1433,0,0,0,0.8,4
192.168.1.82,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,24.0,3306,0,0,0,0.8,4
192.168.1.82,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,2,0,24.0,3389,0,0,0,0.8,4
191.168.0.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,3,0,15.666666666666666,53,0,0,0,0.8,1
172.22.10.6,0.7298116883116883,Alta taxa de acessos sem autenticação,1.0,13,0,3.9166666666666665,53,0,0,0,2.6,1
